date,store_id,store_name,store_type,store_size,city,location_type,product_id,product_name,product_category,price,base_price,discount,promotion,temperature,rainfall,humidity,weather_condition,heatwave,festival,festival_name,festival_intensity,days_to_festival,holiday,day_of_week,weekend,month,warehouse_capacity,delivery_delay,disruption_flag,actual_demand
2023-01-01,S011,Madurai Central,Large Supermarket,large,Madurai,urban,P001,Cold Drinks 2L,Beverages,50.0,50,0,0,25.2,0.0,53.0,normal,0,0,None,0.0,-1,0,6,1,1,100,0,0,256
2023-01-01,S011,Madurai Central,Large Supermarket,large,Madurai,urban,P002,Mineral Water 1L,Beverages,20.0,20,0,0,25.2,0.0,53.0,normal,0,0,None,0.0,-1,0,6,1,1,100,12,1,294
2023-01-01,S011,Madurai Central,Large Supermarket,large,Madurai,urban,P003,Milk 1L,Dairy,48.0,60,20,1,25.2,0.0,53.0,normal,0,0,None,0.0,-1,0,6,1,1,100,0,0,248
2023-01-01,S011,Madurai Central,Large Supermarket,large,Madurai,urban,P004,Curd 500g,Dairy,45.0,45,0,0,25.2,0.0,53.0,normal,0,0,None,0.0,-1,0,6,1,1,100,0,0,311
2023-01-01,S011,Madurai Central,Large Supermarket,large,Madurai,urban,P005,Chips 200g,Snacks,35.0,35,0,0,25.2,0.0,53.0,normal,0,0,None,0.0,-1,0,6,1,1,100,0,0,245
2023-01-01,S011,Madurai Central,Large Supermarket,large,Madurai,urban,P006,Biscuits 400g,Snacks,40.0,40,0,0,25.2,0.0,53.0,normal,0,0,None,0.0,-1,0,6,1,1,100,0,0,271
2023-01-01,S011,Madurai Central,Large Supermarket,large,Madurai,urban,P007,Tomatoes 1kg,Fresh Produce,27.0,30,10,1,25.2,0.0,53.0,normal,0,0,None,0.0,-1,0,6,1,1,100,0,0,271
2023-01-01,S011,Madurai Central,Large Supermarket,large,Madurai,urban,P008,Onions 1kg,Fresh Produce,25.0,25,0,0,25.2,0.0,53.0,normal,0,0,None,0.0,-1,0,6,1,1,100,0,0,225
2023-01-01,S011,Madurai Central,Large Supermarket,large,Madurai,urban,P009,Ice Cream 500ml,Frozen,80.0,80,0,0,25.2,0.0,53.0,normal,0,0,None,0.0,-1,0,6,1,1,100,0,0,278
2023-01-01,S011,Madurai Central,Large Supermarket,large,Madurai,urban,P010,Rice 5kg,Staples,250.0,250,0,0,25.2,0.0,53.0,normal,0,0,None,0.0,-1,0,6,1,1,100,0,0,368
